Time,Temperature,PIR_1,PIR_2,PIR_3,PIR_4
20:01:28:365,24.75,1,0,0,0
20:01:28:367,24.69,0,0,0,0
20:01:28:369,24.75,1,0,0,0
20:01:28:371,24.69,1,0,0,0
20:01:30:066,24.69,0,0,0,0
20:01:30:198,24.75,1,0,0,0
20:01:30:328,24.75,1,0,0,0
20:01:30:455,24.62,1,0,0,0
20:01:30:587,24.75,0,0,0,0
20:01:30:717,24.69,1,0,0,0
20:01:30:856,24.69,1,0,0,0
20:01:30:996,24.62,1,0,0,0
20:01:31:139,24.69,0,0,0,0
20:01:31:278,24.62,1,0,0,0
20:01:31:418,24.69,0,0,0,0
20:01:31:561,24.62,1,0,0,0
20:01:31:701,24.69,0,0,0,0
20:01:31:844,24.56,1,0,0,0
20:01:31:983,24.69,1,0,0,0
20:01:32:122,24.62,1,0,0,0
20:01:32:265,24.75,1,0,0,0
20:01:32:405,24.69,0,0,0,0
20:01:32:544,24.75,1,0,0,0
20:01:32:688,24.62,0,0,0,0
20:01:32:827,24.69,1,0,0,0
20:01:32:970,24.69,0,0,0,0
20:01:33:109,24.69,1,0,0,0
